"patid","date","tmax"
"patid1",2020-01-01,9.10000038146973
"patid1",2020-01-02,10.5299997329712
"patid1",2020-01-03,11.6000003814697
"patid1",2020-01-04,7.34000015258789
"patid1",2020-01-05,8.11999988555908
"patid1",2020-01-06,8.40999984741211
"patid1",2020-01-07,9.26000022888184
"patid1",2020-01-08,4.88000011444092
"patid1",2020-01-09,14.7600002288818
"patid1",2020-01-10,16.8500003814697
"patid1",2020-01-11,19.6900005340576
"patid1",2020-01-12,7.32000017166138
"patid1",2020-01-13,9.69999980926514
"patid1",2020-01-14,11.460000038147
"patid1",2020-01-15,13.5500001907349
"patid1",2020-01-16,7.23999977111816
"patid1",2020-01-17,1.78999996185303
"patid1",2020-01-18,10.8699998855591
"patid1",2020-01-19,-3.15000009536743
"patid1",2020-01-20,-1.9099999666214
"patid1",2020-01-21,0.189999997615814
"patid1",2020-01-22,4.76999998092651
"patid1",2020-01-23,8.64999961853027
"patid1",2020-01-24,8.85999965667725
"patid1",2020-01-25,3.76999998092651
"patid1",2020-01-26,5.96999979019165
"patid1",2020-01-27,3.55999994277954
"patid1",2020-01-28,1.92999994754791
"patid1",2020-01-29,1.87000000476837
"patid1",2020-01-30,3.92000007629395
"patid1",2020-01-31,3.20000004768372
"patid1",2020-02-01,6.11999988555908
"patid1",2020-02-02,17.8199996948242
"patid1",2020-02-03,18.1100006103516
"patid1",2020-02-04,15.8900003433228
"patid1",2020-02-05,2.94000005722046
"patid1",2020-02-06,1.32000005245209
"patid1",2020-02-07,0.930000007152557
"patid1",2020-02-08,2.29999995231628
"patid1",2020-02-09,8.01000022888184
"patid1",2020-02-10,9.32999992370605
"patid1",2020-02-11,5.3899998664856
"patid1",2020-02-12,3.04999995231628
"patid1",2020-02-13,3.71000003814697
"patid1",2020-02-14,-3.45000004768372
"patid1",2020-02-15,7.28000020980835
"patid1",2020-02-16,9.61999988555908
"patid1",2020-02-17,11.6700000762939
"patid1",2020-02-18,12.1099996566772
"patid1",2020-02-19,6.84999990463257
"patid1",2020-02-20,1.44000005722046
"patid1",2020-02-21,3.74000000953674
"patid1",2020-02-22,10.0600004196167
"patid1",2020-02-23,12.3599996566772
"patid1",2020-02-24,7.69000005722046
"patid1",2020-02-25,8.1899995803833
"patid1",2020-02-26,4.46999979019165
"patid1",2020-02-27,1.80999994277954
"patid1",2020-02-28,2.39000010490417
"patid1",2020-02-29,3.65000009536743
"patid1",2020-03-01,17.1399993896484
"patid1",2020-03-02,13.3500003814697
"patid1",2020-03-03,14.8599996566772
"patid1",2020-03-04,16.9799995422363
"patid1",2020-03-05,14.8800001144409
"patid1",2020-03-06,6.51000022888184
"patid1",2020-03-07,10.6199998855591
"patid1",2020-03-08,18.7199993133545
"patid1",2020-03-09,18.8099994659424
"patid1",2020-03-10,14.9499998092651
"patid1",2020-03-11,12.1999998092651
"patid1",2020-03-12,18.3700008392334
"patid1",2020-03-13,14.5200004577637
"patid1",2020-03-14,6.86999988555908
"patid1",2020-03-15,7.3899998664856
"patid1",2020-03-16,9.13000011444092
"patid1",2020-03-17,11.4799995422363
"patid1",2020-03-18,16.1900005340576
"patid1",2020-03-19,20.0100002288818
"patid1",2020-03-20,22.8700008392334
"patid1",2020-03-21,3.79999995231628
"patid1",2020-03-22,7.17999982833862
"patid1",2020-03-23,12.75
"patid1",2020-03-24,12.5799999237061
"patid1",2020-03-25,18.4799995422363
"patid1",2020-03-26,21.3999996185303
"patid1",2020-03-27,21.7900009155273
"patid1",2020-03-28,26.2000007629395
"patid1",2020-03-29,19.6499996185303
"patid1",2020-03-30,16.2999992370605
"patid1",2020-03-31,8.85000038146973
"patid1",2020-04-01,12.1099996566772
"patid1",2020-04-02,16.6000003814697
"patid1",2020-04-03,20.5200004577637
"patid1",2020-04-04,22.7199993133545
"patid1",2020-04-05,15.1000003814697
"patid1",2020-04-06,20.7600002288818
"patid1",2020-04-07,26.0200004577637
"patid1",2020-04-08,26.7700004577637
"patid1",2020-04-09,13.9200000762939
"patid1",2020-04-10,10.539999961853
"patid1",2020-04-11,17.1800003051758
"patid1",2020-04-12,18.4899997711182
"patid1",2020-04-13,14.8299999237061
"patid1",2020-04-14,9.47000026702881
"patid1",2020-04-15,11.7600002288818
"patid1",2020-04-16,11.1599998474121
"patid1",2020-04-17,11.6400003433228
"patid1",2020-04-18,12.6199998855591
"patid1",2020-04-19,14.8699998855591
"patid1",2020-04-20,18.3799991607666
"patid1",2020-04-21,14.0200004577637
"patid1",2020-04-22,20.7999992370605
"patid1",2020-04-23,13.9200000762939
"patid1",2020-04-24,19.3799991607666
"patid1",2020-04-25,19.75
"patid1",2020-04-26,13.210000038147
"patid1",2020-04-27,19.1800003051758
"patid1",2020-04-28,24.5100002288818
"patid1",2020-04-29,20.7600002288818
"patid1",2020-04-30,11.2799997329712
"patid1",2020-05-01,20.3999996185303
"patid1",2020-05-02,27.9699993133545
"patid1",2020-05-03,21.4300003051758
"patid1",2020-05-04,20.4599990844727
"patid1",2020-05-05,12.9499998092651
"patid1",2020-05-06,16.3999996185303
"patid1",2020-05-07,19.9200000762939
"patid1",2020-05-08,12.7399997711182
"patid1",2020-05-09,12.7700004577637
"patid1",2020-05-10,18.1800003051758
"patid1",2020-05-11,9.67000007629395
"patid1",2020-05-12,16.0400009155273
"patid1",2020-05-13,15.9200000762939
"patid1",2020-05-14,27.0200004577637
"patid1",2020-05-15,24.2600002288818
"patid1",2020-05-16,26.3899993896484
"patid1",2020-05-17,27.5200004577637
"patid1",2020-05-18,21.8999996185303
